Name,Code,Geometry,,
Alaska,US.AK,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-175.708,51.974,0 -175.678,51.967,0 -175.662,51.967,0 -175.662,51.96,0 -175.704,51.952,0 -175.71,51.95,0 -175.715,51.937,0 -175.726,51.933,0 -175.74,51.935,0 -175.752,51.939,0 -175.746,51.949,0 -175.724,51.974,0 -175.708,51.974,0 </coordinates></LinearRing></outerBoundaryIs></Polygon>",,
Alaska,US.AK,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-176.56,51.961,0 -176.56,51.947,0 -176.554,51.937,0 -176.54,51.933,0 -176.549,51.914,0 -176.564,51.909,0 -176.581,51.909,0 -176.6,51.906,0 -176.611,51.896,0 -176.619,51.882,0 -176.627,51.869,0 -176.641,51.864,0 -176.641,51.857,0 -176.588,51.857,0 -176.596,51.849,0 -176.598,51.844,0 -176.597,51.838,0 -176.594,51.83,0 -176.569,51.839,0 -176.549,51.836,0 -176.53,51.828,0 -176.505,51.824,0 -176.505,51.83,0 -176.512,51.83,0 -176.504,51.839,0 -176.492,51.844,0 -176.464,51.851,0 -176.441,51.842,0 -176.428,51.834,0 -176.426,51.827,0 -176.431,51.815,0 -176.428,51.804,0 -176.426,51.795,0 -176.437,51.788,0 -176.434,51.778,0 -176.43,51.769,0 -176.424,51.761,0 -176.416,51.755,0 -176.427,51.742,0 -176.455,51.731,0 -176.471,51.72,0 -176.491,51.754,0 -176.523,51.742,0 -176.588,51.686,0 -176.594,51.696,0 -176.601,51.703,0 -176.611,51.704,0 -176.622,51.7,0 -176.615,51.693,0 -176.63,51.692,0 -176.642,51.687,0 -176.652,51.681,0 -176.659,51.679,0 -176.671,51.681,0 -176.684,51.686,0 -176.697,51.689,0 -176.71,51.686,0 -176.72,51.669,0 -176.724,51.657,0 -176.721,51.652,0 -176.711,51.648,0 -176.707,51.638,0 -176.707,51.627,0 -176.71,51.617,0 -176.751,51.638,0 -176.771,51.62,0 -176.784,51.613,0 -176.8,51.611,0 -176.814,51.616,0 -176.825,51.625,0 -176.824,51.634,0 -176.807,51.638,0 -176.807,51.645,0 -176.819,51.66,0 -176.828,51.674,0 -176.83,51.691,0 -176.82,51.714,0 -176.827,51.72,0 -176.896,51.638,0 -176.903,51.627,0 -176.909,51.613,0 -176.917,51.602,0 -176.926,51.597,0 -176.952,51.592,0 -176.97,51.593,0 -176.978,51.6,0 -176.976,51.647,0 -176.967,51.669,0 -176.902,51.7,0 -176.89,51.71,0 -176.882,51.72,0 -176.879,51.732,0 -176.882,51.747,0 -176.862,51.748,0 -176.855,51.747,0 -176.858,51.752,0 -176.861,51.755,0 -176.82,51.769,0 -176.82,51.775,0 -176.842,51.774,0 -176.867,51.769,0 -176.89,51.767,0 -176.909,51.775,0 -176.915,51.792,0 -176.905,51.808,0 -176.886,51.819,0 -176.865,51.824,0 -176.855,51.818,0 -176.847,51.806,0 -176.834,51.794,0 -176.81,51.788,0 -176.727,51.782,0 -176.704,51.788,0 -176.722,51.796,0 -176.756,51.806,0 -176.769,51.813,0 -176.78,51.829,0 -176.778,51.843,0 -176.767,51.853,0 -176.748,51.857,0 -176.706,51.86,0 -176.759,51.884,0 -176.779,51.909,0 -176.782,51.937,0 -176.776,51.945,0 -176.759,51.954,0 -176.742,51.958,0 -176.722,51.961,0 -176.683,51.96,0 -176.661,51.953,0 -176.649,51.952,0 -176.638,51.957,0 -176.627,51.975,0 -176.622,51.98,0 -176.605,51.987,0 -176.584,51.99,0 -176.563,51.988,0 -176.546,51.98,0 -176.553,51.974,0 -176.56,51.961,0 </coordinates></LinearRing></outerBoundaryIs></Polygon>",,
Alaska,US.AK,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-175.875,51.994,0 -175.867,51.988,0 -175.851,51.989,0 -175.835,51.993,0 -175.82,51.994,0 -175.806,51.988,0 -175.876,51.969,0 -175.91,51.967,0 -175.95,51.974,0 -175.939,51.987,0 -175.919,51.99,0 -175.898,51.986,0 -175.881,51.98,0 -175.88,51.985,0 -175.879,51.988,0 -175.877,51.991,0 -175.875,51.994,0 </coordinates></LinearRing></outerBoundaryIs></Polygon>",,
Alaska,US.AK,"<Polygon><outerBoundaryIs><LinearRing><coordinates>178.538,51.897,0 178.517,51.896,0 178.503,51.902,0 178.472,51.926,0 178.465,51.933,0 178.46,51.944,0 178.464,51.952,0 178.469,51.961,0 178.472,51.977,0 178.478,51.986,0 178.491,51.989,0 178.506,51.99,0 178.52,51.994,0 178.523,51.991,0 178.526,51.989,0 178.534,51.988,0 178.574,51.976,0 178.591,51.968,0 178.603,51.954,0 178.605,51.938,0 178.596,51.929,0 178.583,51.922,0 178.568,51.912,0 178.575,51.906,0 178.559,51.901,0 178.538,51.897,0 </coordinates></LinearRing></outerBoundaryIs></Polygon>",,
Alaska,US.AK,"<Polygon><outerBoundaryIs><LinearRing><coordinates>179.672,51.877,0 179.642,51.874,0 179.567,51.885,0 179.558,51.888,0 179.55,51.895,0 179.523,51.909,0 179.499,51.916,0 179.498,51.926,0 179.503,51.936,0 179.507,51.939,0 179.504,51.95,0 179.5,51.959,0 179.494,51.967,0 179.486,51.974,0 179.497,51.978,0 179.517,51.978,0 179.527,51.98,0 179.559,52.002,0 179.575,52.005,0 179.598,52.012,0 179.622,52.022,0 179.637,52.035,0 179.644,52.03,0 179.65,52.029,0 179.665,52.029,0 179.67,52.02,0 179.677,52.016,0 179.684,52.013,0 179.692,52.008,0 179.719,51.988,0 179.735,51.979,0 179.75,51.974,0 179.781,51.967,0 179.776,51.956,0 179.764,51.946,0 179.754,51.94,0 179.75,51.936,0 179.756,51.923,0 179.747,51.914,0 179.723,51.902,0 179.7,51.887,0 179.672,51.877,0 </coordinates></LinearRing></outerBoundaryIs></Polygon>",,
Alaska,US.AK,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-175.996,52.033,0 -175.986,52.027,0 -175.964,52.035,0 -175.975,52.022,0 -176.03,52.013,0 -176.046,51.994,0 -176.029,51.996,0 -176.021,51.991,0 -176.022,51.981,0 -176.029,51.971,0 -176.043,51.963,0 -176.058,51.967,0 -176.08,51.98,0 -176.123,51.993,0 -176.139,51.994,0 -176.155,51.995,0 -176.165,51.999,0 -176.171,52.005,0 -176.19,52.039,0 -176.195,52.051,0 -176.193,52.06,0 -176.187,52.068,0 -176.176,52.09,0 -176.169,52.098,0 -176.143,52.107,0 -176.105,52.111,0 -176.069,52.108,0 -176.046,52.098,0 -176.005,52.068,0 -175.998,52.06,0 -175.998,52.047,0 -175.996,52.033,0 </coordinates></LinearRing></outerBoundaryIs></Polygon>",,
Alaska,US.AK,"<Polygon><outerBoundaryIs><LinearRing><coordinates>177.577,51.989,0 177.564,51.979,0 177.555,51.969,0 177.575,51.954,0 177.609,51.953,0 177.615,51.95,0 177.615,51.937,0 177.612,51.928,0 177.606,51.926,0 177.595,51.933,0 177.581,51.925,0 177.573,51.92,0 177.568,51.912,0 177.556,51.921,0 177.539,51.928,0 177.521,51.933,0 177.506,51.933,0 177.494,51.926,0 177.486,51.916,0 177.478,51.913,0 177.465,51.926,0 177.472,51.939,0 177.414,51.931,0 177.393,51.921,0 177.366,51.912,0 177.355,51.896,0 177.335,51.84,0 177.331,51.834,0 177.324,51.827,0 177.317,51.829,0 177.307,51.837,0 177.298,51.847,0 177.293,51.854,0 177.284,51.863,0 177.238,51.883,0 177.225,51.892,0 177.294,51.922,0 177.317,51.926,0 177.329,51.93,0 177.34,51.94,0 177.359,51.963,0 177.373,51.975,0 177.388,51.979,0 177.424,51.98,0 177.446,51.987,0 177.455,51.988,0 177.478,51.987,0 177.485,51.988,0 177.509,51.995,0 177.517,52.001,0 177.527,52.035,0 177.556,52.085,0 177.554,52.104,0 177.594,52.125,0 177.616,52.13,0 177.643,52.125,0 177.673,52.113,0 177.684,52.105,0 177.691,52.09,0 177.682,52.083,0 177.664,52.076,0 177.657,52.07,0 177.651,52.06,0 177.649,52.044,0 177.643,52.035,0 177.627,52.025,0 177.568,52.002,0 177.577,51.989,0 </coordinates></LinearRing></outerBoundaryIs></Polygon>",,
Alaska,US.AK,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-173.592,52.152,0 -173.575,52.144,0 -173.548,52.148,0 -173.531,52.145,0 -173.545,52.118,0 -173.531,52.125,0 -173.521,52.115,0 -173.508,52.112,0 -173.43,52.112,0 -173.422,52.117,0 -173.414,52.118,0 -173.408,52.116,0 -173.407,52.111,0 -173.406,52.106,0 -173.397,52.104,0 -173.37,52.109,0 -173.36,52.105,0 -173.353,52.09,0 -173.331,52.1,0 -173.304,52.108,0 -173.276,52.112,0 -173.25,52.112,0 -173.249,52.11,0 -173.246,52.105,0 -173.241,52.1,0 -173.236,52.098,0 -173.228,52.098,0 -173.216,52.103,0 -173.209,52.104,0 -173.158,52.104,0 -173.14,52.11,0 -173.131,52.111,0 -173.123,52.108,0 -173.114,52.101,0 -173.102,52.098,0 -172.956,52.09,0 -172.974,52.084,0 -173.017,52.082,0 -173.034,52.073,0 -173.052,52.069,0 -173.103,52.075,0 -173.14,52.059,0 -173.165,52.056,0 -173.19,52.059,0 -173.214,52.071,0 -173.227,52.074,0 -173.239,52.076,0 -173.244,52.073,0 -173.248,52.063,0 -173.256,52.063,0 -173.274,52.07,0 -173.307,52.064,0 -173.377,52.039,0 -173.414,52.035,0 -173.45,52.044,0 -173.463,52.043,0 -173.472,52.037,0 -173.484,52.025,0 -173.49,52.022,0 -173.5,52.023,0 -173.516,52.032,0 -173.524,52.035,0 -173.538,52.035,0 -173.55,52.032,0 -173.561,52.031,0 -173.572,52.035,0 -173.558,52.045,0 -173.571,52.049,0 -173.682,52.049,0 -173.677,52.056,0 -173.675,52.063,0 -173.689,52.07,0 -173.715,52.055,0 -173.749,52.048,0 -173.836,52.043,0 -173.887,52.057,0 -173.922,52.06,0 -173.93,52.066,0 -173.922,52.084,0 -173.931,52.087,0 -173.956,52.09,0 -173.965,52.093,0 -173.981,52.101,0 -173.99,52.104,0 -173.997,52.104,0 -174.015,52.103,0 -174.025,52.104,0 -174.033,52.109,0 -174.05,52.12,0 -174.059,52.125,0 -174.059,52.129,0 -174.057,52.132,0 -174.055,52.135,0 -174.052,52.138,0 -174.045,52.133,0 -174.024,52.129,0 -174.011,52.125,0 -173.959,52.123,0 -173.942,52.125,0 -173.902,52.138,0 -173.887,52.138,0 -173.893,52.124,0 -173.896,52.118,0 -173.901,52.112,0 -173.886,52.113,0 -173.857,52.123,0 -173.846,52.125,0 -173.839,52.12,0 -173.806,52.09,0 -173.79,52.115,0 -173.765,52.127,0 -173.734,52.131,0 -173.699,52.131,0 -173.685,52.134,0 -173.66,52.148,0 -173.647,52.152,0 -173.631,52.151,0 -173.619,52.148,0 -173.607,52.147,0 -173.592,52.152,0 </coordinates></LinearRing></outerBoundaryIs></Polygon>",,
Alaska,US.AK,"<Polygon><outerBoundaryIs><LinearRing><coordinates>175.963,52.344,0 175.929,52.339,0 175.899,52.349,0 175.882,52.378,0 175.916,52.378,0 175.937,52.372,0 175.974,52.365,0 175.991,52.358,0 175.963,52.344,0 </coordinates></LinearRing></outerBoundaryIs></Polygon>",,
Alaska,US.AK,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-172.387,52.296,0 -172.413,52.279,0 -172.426,52.277,0 -172.441,52.289,0 -172.479,52.265,0 -172.529,52.25,0 -172.583,52.248,0 -172.633,52.261,0 -172.599,52.314,0 -172.579,52.336,0 -172.558,52.351,0 -172.496,52.371,0 -172.441,52.399,0 -172.435,52.394,0 -172.427,52.391,0 -172.407,52.386,0 -172.384,52.369,0 -172.337,52.359,0 -172.302,52.344,0 -172.311,52.317,0 -172.326,52.31,0 -172.387,52.296,0 </coordinates></LinearRing></outerBoundaryIs></Polygon>",,
